PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2/2/2022,09:17.6,1,1,"Crawford, Sam",1000025159,Left,GIT_YJF,"Anderson, John",1000051460,Right,GIT_YEL,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.33252,4.161978,-0.57819,2393.83936,310.24285,4:15,5.92527,-1.91875,5.14341,-67.49779,-11.57501,16.0204,4.22622,-1.12812,65.37109,-8.091104,2.25649,0.538227,,,,,,,,,,,,-8.05678,-6.3691,1.9602,50,6.2639,0.43017,-104.63348,5.34249,-8.79111,20.25043,-39.12365,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,ffef3be0-8463-11ec-adab-7968ab2d66aa,70.03071,,,6.96143,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,09:17.6,2022-02-02T15:09:17.6381490-05:00,2022-02-02T20:09:17.6381490Z,,v3,,,,,,Undefined,GIT_YJF,0747a993-9738-4a6f-96ce-bc277f3694dd,55.35682,-105.66514,10.12522,5.94095,7.33564,-19.56183,1.92688,0.87803,-4.39555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2/2/2022,09:34.5,1,2,"Crawford, Sam",1000025159,Left,GIT_YJF,"Anderson, John",1000051460,Right,GIT_YEL,Undefined,1,Top,0,1,0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,80.03486,-0.375287,3.564896,1536.317476,111.077894,9:45,5.80964,-1.88137,6.11906,-35.31718,8.70012,-18.36359,2.5189,-0.11164,72.20787,-6.99074,0.258983,0.477511,94.46399,-9.70836,-14.183344,,,,,15.70336,,-12.536392,0.105849,10.69272,5.06441,1.61766,50,5.76259,-6.54801,-115.96627,-1.79481,14.30536,25.23781,-25.39856,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,09e129b0-8464-11ec-adab-7968ab2d66aa,78.93527,2.59951,,7.82699,,,,1.54293,2.59951,0.1173,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,09:34.5,2022-02-02T15:09:34.4928306-05:00,2022-02-02T20:09:34.4928306Z,GroundBall,v3,,,,,,Undefined,GIT_YJF,7a66e5ae-415c-4093-919f-44bd00d6bb26,54.37874,-116.91534,12.6189,5.81212,-0.8397,-12.69928,1.87402,-7.08596,7.15268,104.901244,1.54313,132.3744,-20.17642,,,,,,,2.59955,-23.3677,-11.2871,,,,,,,0.1173,-33.46164,1.42893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2/2/2022,10:16.1,2,1,"Crawford, Sam",1000025159,Left,GIT_YJF,"Hall, Colin",1000025152,Left,GIT_YEL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.49939,-1.875598,3.82122,2071.074344,156.273664,11:15,5.95402,-1.89886,5.59439,-16.36052,18.5797,-7.62874,2.83493,1.03845,81.92826,-4.990567,2.464348,0.425436,,,,,,,,,,,,4.98366,10.29957,1.57573,50,5.78242,-8.39665,-130.92808,-4.78799,8.57996,29.75602,-14.4422,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,22a90120-8464-11ec-adab-7968ab2d66aa,88.59725,,,8.57114,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,10:16.1,2022-02-02T15:10:16.0573490-05:00,2022-02-02T20:10:16.0573490Z,,v3,,,,,,Undefined,GIT_YJF,d85f7851-1110-4f91-afbe-88a2e489720a,54.90054,-132.03713,14.87801,5.95085,-4.24971,-7.2211,1.89465,-8.71644,4.28998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2/2/2022,10:33.0,2,2,"Crawford, Sam",1000025159,Left,GIT_YJF,"Hall, Colin",1000025152,Left,GIT_YEL,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.17764,-0.966149,1.618119,2078.29761,159.857416,11:15,6.0402,-1.77123,5.18567,-16.23328,18.48032,-6.34957,3.77803,-0.77764,82.73652,-4.03567,0.493955,0.424054,,,,,,,,,,,,3.62173,9.82071,1.6259,50,5.93869,-3.42959,-132.15764,-2.76317,6.37259,29.50962,-14.89416,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,2cbb2120-8464-11ec-adab-7968ab2d66aa,88.88591,,,8.44112,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,10:33.0,2022-02-02T15:10:32.9707058-05:00,2022-02-02T20:10:32.9707058Z,,v3,,,,,,Undefined,GIT_YJF,b70c4c99-dca7-45d5-be44-abe39ec0dc22,55.30978,-133.338,14.75481,6.0373,-2.16741,-7.44708,1.76818,-3.68449,3.1863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2/2/2022,10:50.9,2,3,"Crawford, Sam",1000025159,Left,GIT_YJF,"Hall, Colin",1000025152,Left,GIT_YEL,Undefined,1,Top,1,2,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.14679,2.320376,-0.008034,2450.872919,316.935281,4:30,5.98244,-1.67155,5.10614,-63.08929,-11.30371,12.29253,2.91243,-0.65474,68.11238,-9.109375,2.170084,0.517936,,,,,,,,,,,,-6.06256,-5.73721,1.6624,50,6.15223,-0.47934,-108.86708,2.20046,-7.14954,22.20916,-38.93992,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,37795fa0-8464-11ec-adab-7968ab2d66aa,72.77436,,,7.03441,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,10:50.9,2022-02-02T15:10:50.9272626-05:00,2022-02-02T20:10:50.9272626Z,,v3,,,,,,Undefined,GIT_YJF,abe8b318-432b-4bf2-8d9b-cd17e2e4b968,55.39333,-109.96183,11.10458,5.99646,4.11991,-19.46996,1.67735,-0.12692,-3.57477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2/2/2022,11:09.0,2,4,"Crawford, Sam",1000025159,Left,GIT_YJF,"Hall, Colin",1000025152,Left,GIT_YEL,Undefined,1,Top,1,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.04289,-1.091291,0.861161,2085.183697,138.41984,10:30,5.9956,-1.79673,5.53857,-20.50241,14.49343,-11.63697,3.26687,-1.96154,81.22854,-4.975442,-1.214324,0.425774,,,,,,,,,,,,6.24603,8.10619,1.73028,50,5.88793,-1.46072,-131.85242,-3.19369,10.70091,35.03517,-18.2862,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,42469240-8464-11ec-adab-7968ab2d66aa,88.52677,,,9.81435,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,11:09.0,2022-02-02T15:11:09.0443314-05:00,2022-02-02T20:11:09.0443314Z,,v3,,,,,,Undefined,GIT_YJF,be005815-6bf0-49a6-9fff-88790faf323f,54.95781,-133.16327,17.51759,5.99463,-2.50951,-9.1431,1.79242,-1.86109,5.35045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2/2/2022,11:29.9,2,5,"Crawford, Sam",1000025159,Left,GIT_YJF,"Hall, Colin",1000025152,Left,GIT_YEL,Undefined,1,Top,1,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,89.6109,-1.594778,3.663301,1978.794446,162.187416,11:30,5.91738,-1.76443,5.75313,-15.33465,20.15123,-6.06894,3.1515,1.14463,80.92108,-4.545744,2.580591,0.428745,,,,,,,,,,,,4.18484,11.06965,1.46369,50,5.7755,-8.02942,-129.6701,-4.03286,7.04972,29.79738,-13.52635,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,4eb9fad0-8464-11ec-adab-7968ab2d66aa,87.91337,,,8.68982,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,11:29.9,2022-02-02T15:11:29.9272754-05:00,2022-02-02T20:11:29.9272754Z,,v3,,,,,,Undefined,GIT_YJF,961f1dd7-e425-4d8d-bc09-23ec3bfe1582,54.74063,-130.75493,14.89869,5.91335,-3.54041,-6.76317,1.76069,-8.28608,3.52486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2/2/2022,12:30.0,3,1,"Crawford, Sam",1000025159,Left,GIT_YJF,"Jenkins, Andrew",1000050758,Right,GIT_YEL,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.03412,-1.418048,2.530954,1501.370992,108.661423,9:30,5.80082,-1.92018,5.76289,-37.10376,7.13567,-16.62261,1.38747,-0.94824,72.97477,-8.26979,-0.447889,0.478714,,,,,,,,,,,,9.22634,4.52614,1.72066,50,5.66097,-4.48414,-116.04593,-4.05214,12.4678,23.54679,-26.05777,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,728e09b0-8464-11ec-adab-7968ab2d66aa,78.73687,,,7.05934,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,12:30.0,2022-02-02T15:12:30.0310066-05:00,2022-02-02T20:12:30.0310066Z,,v3,,,,,,Undefined,GIT_YJF,db5c7e9c-c965-4c76-ab65-89faf33ec119,54.73475,-117.00271,11.77339,5.80411,-2.99333,-13.02888,1.91316,-4.99074,6.2339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2/2/2022,13:31.2,3,2,"Crawford, Sam",1000025159,Left,GIT_YJF,"Jenkins, Andrew",1000050758,Right,GIT_YEL,Undefined,1,Top,1,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,SB (pr Chandler),90.19833,-0.363406,1.341692,2063.211201,137.336315,10:30,6.02994,-2.04669,5.14571,-22.59635,12.81347,-10.74473,3.80467,-1.67866,82.13085,-4.553,-0.560184,0.428285,,,,,,,,,,,,5.70374,6.82331,1.92968,50,5.97895,-2.55442,-130.81528,-1.66097,9.85993,28.2134,-20.37873,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,970dc1e0-8464-11ec-adab-7968ab2d66aa,88.00775,,,8.06747,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,13:31.2,2022-02-02T15:13:31.1650000-05:00,2022-02-02T20:13:31.1650000Z,,v3,,,,,,Undefined,GIT_YJF,131e29d1-3f20-4200-b66a-042804b7a5e2,55.35059,-131.96422,14.1067,6.0297,-0.83109,-10.18936,2.04188,-2.95594,4.92996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.67101,2.041218,0.679987,1.36123,-2.04641,3.51949,1.71621,-2.16679,6.13748,2.21486,127.27946,3.15125,4.19276,-1.83309,108.81694,-10.25065,6.12416,11.76268,-10.2443,2.17943,0.38794,0.80064,High,High,High,,,High,High,High
10,2/2/2022,14:04.4,3,3,"Crawford, Sam",1000025159,Left,GIT_YJF,"Jenkins, Andrew",1000050758,Right,GIT_YEL,Undefined,1,Top,1,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.70474,-1.075873,1.410609,2041.122571,140.509268,10:45,6.07272,-1.96298,5.25254,-24.49848,13.24457,-9.78445,3.01983,-1.45263,79.09534,-5.639371,-0.325089,0.442171,,,,,,,,,,,,5.31331,7.35485,1.84108,50,5.95644,-2.67895,-127.02617,-3.24435,8.55728,29.49291,-20.3288,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,aae3bad0-8464-11ec-adab-7968ab2d66aa,85.24407,,,8.60941,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,14:04.4,2022-02-02T15:14:04.3792946-05:00,2022-02-02T20:14:04.3792946Z,,v3,,,,,,Undefined,GIT_YJF,be0cb194-38f1-4770-ad47-719ee81720a9,55.24204,-128.23749,14.74645,6.07255,-2.40942,-10.1644,1.95832,-3.03041,4.27864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
